statement,emotion
I was very scared when I went to the examination hall for my MSc examination as I had studied a limited partion of the course thoroughly and I was in great doubt whether that would be asked,fear
Grease burns hurt like a mother ,sadness
 Oh  Im afraid Ill be busy tomorrow evening  ,sadness
kittycatkait I cant see what hicks is doing for the 1st time in ages Im the little spoon D,joy
He looked so crestfallen Preston felt sorry for him  ,sadness
If Frank Iero taught me anything its that people really should lock their lockers more  Bwaha,surprise
Just realized my 3000 tweet was a drunk tweet ,sadness
Weather related tweet ,anger
Bought mom amp dad gifts that they can open when I get home giver excitement home,surprise
However  I am not now so anxious about my sister being left with Seor Mitchell  ,fear
cool just lookin like a potato compared to all the girls on my soccer team at this party ,sadness
 Dan Wood on SSRadio Deep amp Soulful house,joy
urban meyer accepts ohio state job wonder if he knows yet ,surprise
 She made another white crack about my clothes  ,anger
Mr Gee is obviously my favorite teacher scratchcupcakesfortheclass,surprise
stoverkelsey female fight club than beat the shit out of her,surprise
paulaperezmo Vaya bombita de humo que hemos hecho esta noche en la jorgecliment y yo no jejeje Descansad Un beset,joy
By comparison  she felt drained and despondent  ,sadness
SexChronicl3s  he came home today well yesterday right smh im wayy press though,surprise
  Regrets  leave it all behind and enjoy life InshAllah,fear
Washing machine makes strange noise OO ,fear
Fresh pineapple I forgot fruit could taste so good mbi sdr,joy
 And I m frightened that if I go down to the cellars I might die   ,fear
DaniRho11 yeah a 500 team with one loss away from loosing record is in a bowl game ,joy
Death to the ego Rise of planetary collectiveness  Peace starts from within ,joy
just cant wait for this book talk tomorrow  havent even finished the book yet  ,joy
My mothers death,sadness
Anger is what makes a clear mind seem clouded ,anger
Writing lesson plans for the rest of the day ,joy
When my brother who has been out of New Zealand for 10 years came to visit with his wife which none of our family had previously met,joy
 At kids age we all are spiritually pure lets help our children grow pure by educating them based on love principles o,joy
Lost volleyball game to meadowlark ,joy
Whoop  shopping at ClaphamJunction tonight  cocktails RevolutionBars fab clothes amp gifts amp VIP deals bobboutiquehair,joy
I work at a petrol station When there is a foreigner who wants petrol my collegues treat him very impolite,anger
another weekend where i have to wake up early everyday ,joy
 May and Danny have already grown up  ,joy
TATKylla Read my last Tweet to discover another form of slavery How much more   slavery scientology vaw,fear
TheFPShow Yea I doubt you could come to New York too many antigun laws ,sadness
wait for my new Psychedelic Trance track  ,surprise
not when fear not why fear not much while were alive Fear not die Ill be alive for a million year ByeBye lyrics quotes,fear
i need a break i will stop studying for an hour YAY ,joy
That amazing moment when youre a seat filler at the VGAs and realize kevinjonas is there and he walks right by your table ,surprise
Order your OfficialPWG DVD and listen to JoeyRyanOnline gush about Pujols Wilson and the Angels on commentary FutureTweet,fear
My behavior on days when I dont get a nap has changed little since I was 5 kicking biting grrrrr,sadness
 I couldnt  I was bound and gagged  ,sadness
fat guy singing to katy perry on youtube  scarredforlife,disgust
6th form taster day today ,joy
Film preview screening today Handels Messiah tomorrow MC Christmas Concert Sunday Three day winter vacation Monday  ,joy
When I dreamed that I was being attacked by a friend,fear
Best Skype date Christmas list is finished time to get shopping for him lt3 ,surprise
 Im sure youll have a good time  ,joy
Been a long day Looking forward to The Cafe at 9 then bed ready for another long day tomorrow Year 12 parents evening ,joy
Audiences were thrilled  box office cash registers jingled and careers were made  ,joy
How do you like the pizza here  ,joy
Im going crazy  ,anger
 WHEN MY PHONE DOESNT SEND A TWEET ,anger
When I met friends I had not seen for the last 24 years,joy
Up at 600am yesterday 730 today it would be great if I could sleep in until at least 1000 sotired needsleep,sadness
Thanks  Sometimes talking with a friend is a great way to get over something  Do you mind if I vent a little bit  ,anger
 yeah  ,neutral
 What a pity  I know youve been longing for it these months  ,sadness
Great now I have to get my wisdom teeth pulled,joy
Demand in  is not sectarian the govt uses divide amp conquer policy 2 silence dissent amp build in society Change is inevitable,fear
follow your joy  is your original energy your true nature All you have to do is surrender to it,joy
The Oracle clearly becomes very anxious about this and demands to know their business  ,fear
 last forever last til the person gets over it and confronts it or til someone badder comes along,fear
JaimeR thx yeah hes mamas boy  hes 3 goin on naughty lol this week hes finally saying mama clearly wgood eye contact autism,joy
 Oh  Steven  I made a big mistake  ,sadness
4 hour food technology exam today ,joy
andersoncooper The Egyptian Party U pushed is not the same without U  Return2 Egypt amp Party big Guy   Murder nazi,joy
Playing NOW on Hardest BYZPO Radio Show Session 17 Tune in listen and enjoy fb,fear
in een slaaploos routine een rondje lopen kan misschien helpen,joy
And then again perhaps Modigliani s exasperation stemmed in part from envy of this brilliant young man  ,anger
maybe its a good Idea 2 recall our  in  amp send them back their ambassador in till things Calm Down pakistan,disgust
left my coffee and muffin in my last class  fml,sadness
I hate watching movies set back when women didnt have rights They never get to be with the men they love ,sadness
Sat next to a TriGuy on the plane this afternoon We talked of our love affairs with our bikes   ,joy
 joy via ChefBoyaReG hold up brother a nice wheel on 20s is ,joy
Examen de 10 perfecto en world studies ,joy
now to start my take home test and study my music for a signingwriting test tomorrow ,joy
Jcabs2 lmao tehe but anywayss yeah whatever its no problem lol ill just do the homework from friday and youll copy it tmwrrr aight,anger
Another rousing weekend fundraising at war memorial sarcastictweet,joy
My best friend started moving out with my boyfriend When I heard this my heart sank because I didnt expect that my own good friend could do such a thing so I got angry,anger
A close friend of the family died,sadness
When I was admitted to the University,joy
She was on her feet taking his hand  smiling at him  telling him how delighted she was to meet him  ,joy
He turned to see four alarmed faces and the atmosphere was thick with unanswered questions as he walked out  ,fear
When I entered the dissecting room for the anatomy class and saw several dead bodies lying on the benches,fear
